,Week_ending,Uid code,Brand new,Size short,Diet dummy,Container,quantity,amount,ND,Sale,PoS
0,201500,0,Other,400ml,0,Can,222,22502.0,0.065934066,101.36036036036036,9.788463369982752e-05
1,201500,2,Other,400ml,0,Glass,14744,2157921.0,0.791208791,146.35926478567552,0.006500950627343499
2,201500,8,Other,350ml,0,Can,14218,561888.0,0.461538462,39.51948234632157,0.006269025774523187
3,201500,9,Other,350ml,0,Glass,46848,4541924.0,0.879120879,96.95022199453553,0.02065630324130414
4,201500,10,Other,350ml,1,Can,61756,1683835.0,0.406593407,27.265933674460783,0.027229565039488954
5,201500,11,Other,350ml,1,Glass,103,14011.0,0.087912088,136.02912621359224,4.541494266253258e-05
6,201500,13,Syeda,350ml,0,Can,302,18181.0,0.054945055,60.20198675496689,0.00013315837557363922
7,201500,14,Syeda,350ml,0,PET,12005,1171070.0,0.582417582,97.54852144939609,0.005293265889938871
8,201500,15,Syeda,350ml,1,PET,41942,4576730.0,0.923076923,109.12045205283486,0.018493141020892636
9,201500,16,Orangina,350ml,0,Can,8040,319121.0,0.054945055,39.69166666666667,0.0035450110583180776
10,201500,17,Ito,350ml,0,Can,41,3761.0,0.065934066,91.73170731707317,1.8077792710328504e-05
11,201500,19,Calpis,350ml,0,Can,224,11528.0,0.054945055,51.464285714285715,9.87664772466728e-05
12,201500,20,Cc,350ml,0,Can,232,12298.0,0.054945055,53.008620689655174,0.00010229385143405398
13,201500,22,Pepsi,350ml,0,Can,28,2040.0,0.021978022,72.85714285714286,1.23458096558341e-05
14,201500,23,Pepsi,350ml,1,Can,52,2160.0,0.021978022,41.53846153846154,2.2927932217977616e-05
15,201500,25,Coca,350ml,0,Can,5577,372620.0,0.274725275,66.81369912139142,0.0024590207303780993
16,201500,26,Fanta,350ml,0,Can,1068,67197.0,0.197802198,62.918539325842694,0.0004709044540153864
17,201500,28,Coca,350ml,1,Can,447,28395.0,0.131868132,63.52348993288591,0.00019709203271992297
18,201500,29,Mets,350ml,0,Can,1742,82770.0,0.043956044,47.51435132032147,0.0007680857293022502
19,201500,34,Other,450ml,0,Glass,32,5750.0,0.010989011,179.6875,1.4109496749524686e-05
20,201500,36,Orangina,450ml,0,PET,288407,23698816.0,1.0,82.17143134528635,0.1271649259075052
21,201500,44,Other,500ml,0,Can,622,51882.0,0.010989011,83.41157556270096,0.0002742533430688861
22,201500,45,Other,500ml,0,PET,5382,466966.0,0.186813187,86.76439985135637,0.0023730409845606833
23,201500,46,Other,500ml,1,PET,30482,2194795.0,0.285714286,72.00298536841414,0.013440177497469109
24,201500,47,Other,500ml,0,Bottle_Can,262,25924.0,0.032967033,98.94656488549619,0.00011552150463673337
25,201500,48,Other,500ml,1,Bottle_Can,104,8724.0,0.010989011,83.88461538461539,4.585586443595523e-05
26,201500,49,Syeda,500ml,0,PET,231256,19399597.0,1.0,83.88797263638565,0.10196580563462752
27,201500,50,Syeda,500ml,1,PET,45281,3831463.0,0.736263736,84.615247013096,0.019965378822350853
28,201500,51,Syeda,500ml,0,Can,206,14938.0,0.087912088,72.51456310679612,9.082988532506516e-05
29,201500,53,Ito,500ml,0,PET,11484,1162344.0,0.648351648,101.21421107628004,0.005063545645985672
30,201500,54,Ito,500ml,0,Can,38,2384.0,0.010989011,62.73684210526316,1.6755027390060565e-05
31,201500,56,Calpis,500ml,0,PET,38,3572.0,0.010989011,94.0,1.6755027390060565e-05
32,201500,57,Calpis,500ml,0,Can,70,5724.0,0.032967033,81.77142857142857,3.086452413958525e-05
33,201500,59,Cc,500ml,0,Can,44,3826.0,0.032967033,86.95454545454545,1.9400558030596443e-05
34,201500,60,Cc,500ml,0,PET,215592,18095744.0,1.0,83.93513673976771,0.0950592069757352
35,201500,61,Cc,500ml,1,PET,4670,402571.0,0.417582418,86.20364025695932,0.002059104681883759
36,201500,62,Pepsi,500ml,0,Can,48,4056.0,0.010989011,84.5,2.116424512428703e-05
37,201500,63,Pepsi,500ml,0,PET,187,15299.0,0.054945055,81.81283422459893,8.245237163003488e-05
38,201500,64,Pepsi,500ml,1,PET,282824,25892423.0,1.0,91.54959621531411,0.12470325964648656
39,201500,65,Sun L.,500ml,0,Can,294,22422.0,0.010989011,76.26530612244898,0.00012963100138625806
40,201500,66,Coca,500ml,0,PET,537681,44228377.0,1.0,82.2576527718108,0.23707526005566196
41,201500,67,Coca,500ml,0,Can,6119,475609.0,0.252747253,77.72658931197908,0.0026980003315731737
42,201500,68,Fanta,500ml,0,Can,918,66086.0,0.164835165,71.98910675381264,0.00040476618800198944
43,201500,69,Fanta,500ml,0,PET,396344,32993551.0,1.0,83.24473437216156,0.17475669936542537
44,201501,0,Other,400ml,0,Can,278,27904.0,0.052631579,100.37410071942446,5.378839606292159e-05
45,201501,2,Other,400ml,0,Glass,21027,2467718.0,0.831578947,117.35949017929329,0.0040683762734354395
46,201501,8,Other,350ml,0,Can,47291,1801272.0,0.473684211,38.089107864075615,0.009150025317308004
47,201501,9,Other,350ml,0,Glass,45227,4484110.0,0.863157895,99.1467486236098,0.008750675499056672
48,201501,10,Other,350ml,1,Can,154476,4230611.0,0.421052632,27.386849737176,0.02988854773458948
49,201501,11,Other,350ml,1,Glass,241,24569.0,0.084210526,101.9460580912863,4.662950881713706e-05
50,201501,13,Syeda,350ml,0,Can,1400,72753.0,0.073684211,51.96642857142857,0.0002708768147053605
51,201501,14,Syeda,350ml,0,PET,24331,2342156.0,0.6,96.2622169249106,0.0047076455561400905
52,201501,15,Syeda,350ml,1,PET,122341,13190645.0,0.915789474,107.81867893837716,0.023670957419906078
53,201501,16,Orangina,350ml,0,Can,17357,727166.0,0.052631579,41.894682260759346,0.0033582920520292448
54,201501,17,Ito,350ml,0,Can,371,22217.0,0.073684211,59.88409703504043,7.178235589692053e-05
55,201501,19,Calpis,350ml,0,Can,870,41068.0,0.052631579,47.204597701149424,0.00016833059199547403
56,201501,20,Cc,350ml,0,Can,1742,83345.0,0.073684211,47.84443168771527,0.0003370481508690986
57,201501,22,Pepsi,350ml,0,Can,54,3940.0,0.021052632,72.96296296296296,1.0448105710063906e-05
58,201501,23,Pepsi,350ml,1,Can,308,12206.0,0.010526316,39.62987012987013,5.9592899235179315e-05
59,201501,24,Sun L.,350ml,1,Can,96,10694.0,0.010526316,111.39583333333333,1.8574410151224723e-05
60,201501,25,Coca,350ml,0,Can,17161,1091610.0,0.336842105,63.60992949128838,0.0033203692979704943
61,201501,26,Fanta,350ml,0,Can,6240,340106.0,0.242105263,54.50416666666667,0.0012073366598296068
62,201501,28,Coca,350ml,1,Can,1280,84607.0,0.147368421,66.09921875,0.0002476588020163296
63,201501,29,Mets,350ml,0,Can,7058,308338.0,0.052631579,43.68631340323038,0.0013656061129931675
64,201501,34,Other,450ml,0,Glass,58,10420.0,0.010526316,179.6551724137931,1.1222039466364935e-05
65,201501,36,Orangina,450ml,0,PET,560017,46172007.0,1.0,82.44750962917198,0.10835401510060849
66,201501,44,Other,500ml,0,Can,1220,101816.0,0.010526316,83.45573770491804,0.00023604979567181416
67,201501,45,Other,500ml,0,PET,10010,873056.0,0.189473684,87.21838161838161,0.0019367692251433277
68,201501,46,Other,500ml,1,PET,45032,3232800.0,0.273684211,71.78895007994315,0.008712946228436996
69,201501,47,Other,500ml,0,Bottle_Can,590,58248.0,0.031578947,98.72542372881355,0.00011415522905440193
70,201501,48,Other,500ml,1,Bottle_Can,638,53168.0,0.010526316,83.33542319749216,0.0001234424341300143
71,201501,49,Syeda,500ml,0,PET,864514,72049182.0,1.0,83.34067695838355,0.16726914184870717
72,201501,50,Syeda,500ml,1,PET,111231,9354780.0,0.747368421,84.10227364673517,0.02152135641177997
73,201501,51,Syeda,500ml,0,Can,936,65430.0,0.084210526,69.90384615384616,0.00018110049897444104
74,201501,53,Ito,500ml,0,PET,33720,3443662.0,0.663157895,102.12520759193357,0.006524261565617684
75,201501,54,Ito,500ml,0,Can,60,3620.0,0.010526316,60.333333333333336,1.160900634451545e-05
76,201501,56,Calpis,500ml,0,PET,108,10098.0,0.031578947,93.5,2.089621142012781e-05
77,201501,57,Calpis,500ml,0,Can,240,18866.0,0.031578947,78.60833333333333,4.64360253780618e-05
78,201501,59,Cc,500ml,0,Can,118,10268.0,0.031578947,87.01694915254237,2.2831045810880387e-05
